ParticipantID,id,userid,text,annotation_date,annotation
33442,1,ff901930a5eaba2dc939d40571f51bb5,Is tired of life. I'm tired of always being blamed when I'm not the  only guilty party. I am tired of being treated like everything was my  fault because I'm the oldest. And I'm speaking aabout yesterday,,0
33442,5,ff901930a5eaba2dc939d40571f51bb5,"*sighs* I just want to go home...sorta. There's a lot of drama that I don't miss, but you can't have your icing if you want the cake... (or something like that....)",,0
33442,6,ff901930a5eaba2dc939d40571f51bb5,"Morning, everyone. Today's going to be blah with a hot steaming side of rawr. Your choice of drink today is either bored to death or extreme frustration.",,0
33442,19,fdfdc49f0f563b1c4e1192b23cb990a1,Just watched Waltz With Bashir. That whole Israel-Palestine business is an ugly business. Who else has seen it? What do you think?,,0
33442,20,fdfdc49f0f563b1c4e1192b23cb990a1,"I am inexplicably tired for some reason P.S. My dad just texted me saying my uncle has cancer. That REALLY sucks. No sarky, it does.",,0
33442,23,fdd7bb23407b15e190e70405063db57b,"/Apple is the WORST company ever!!/""  My favorite Quote by Krystal Brown... for some unknown reason I laugh whenever I read this! XD""",,0
33442,32,fc1c9fb6c64740edcbbf8cfe9dde8b02,just listened to one of the stupidest songs ever cuz of ahkiye. i feel all late cuz imma bout a stupid question: whos brantley and miles?,,0
33442,34,fc1c9fb6c64740edcbbf8cfe9dde8b02,"i might not be able to go to a close 12-hour concert with all my favorite bands, but im pretty sure i'll have just as much with my family bowling and eating fish. happy birthday to my dad, cousin, and grandma. love ya all",,0
33442,35,fbd681e79ebca2cd9509218403f23ec6,"Oh give me a meal, where the potatoes peel, where the beer and the canteloupe play... anybody got suggestions for the rest??",,0
33442,36,fbc2e784739d0ced1e826120474ebe42,Cute Attitude of a gal:--> I am not waiting for a King.. I am waiting for the one who thinks that I am his Queen...!!!:):),,0
33442,37,fbc2e784739d0ced1e826120474ebe42,"A Best Person is one who,  /Excuses before you say Sorry../""  /""Understands before you Explain../""  /""Waits Forever when you say Just a minute../""  /""Stays with you when you say Leave me alone../""  :):)""",,0
33442,38,fbc2e784739d0ced1e826120474ebe42,"/ Sanju Weds Geetha/""...:(:( Nice N Sweet story.. But never seen such a tragedy movie till now...:(:(:( Seriously getting Depressed after watching it..:(:(:(""",,0
33442,47,fa69c3f763679900202613ada8fbb68b,/Spiritual authority is like a policeman stopping a car,,0
33442,48,fa69c3f763679900202613ada8fbb68b,"Listening to Introduction to Islam (http:////www.biblicaltraining.org//class//wm647)... enjoyed the buddhism class... parang logical, observant, seeking a way out of suffering... pero Islam.... is just demonic, plain and simple.",,0
33442,53,f9ccb48961eadee54fa81ebf82849a03,"I'm waiting for the creepy guy in the foriegn language lab to use his tech powers to close out my facebook acount. I want to catch him in the act! I bet he's reading this right now! Not cool dude, not cool. How do you ever expect to get a girlfriend being a jerk like that!?",,0
33442,54,f9ccb48961eadee54fa81ebf82849a03,"What are the two sexiest animals in the barnyard? Brown chicken, brown cow! Ah I crack myself up . . .",,0
33442,61,f88f8409e7531a480cf4111abe92a0ad,"I'm done with classes for the semester! And none of my finals are looking to be horrendous! Now, home to a hopefully long nap.",,0
33442,63,f88c5c0b0c6e3f0f50d99f35578d7cea,"my lifes a mess. n i know where i went wrong, i started to run. i just stop to take a breath n den f#cked up cuz look bhind me just 2 c im still where i started @",,0
33442,64,f88c5c0b0c6e3f0f50d99f35578d7cea,PG5 dat means da most dat might happen is i might let u hold my hand prued it a way of life lmfao,,0
33442,65,f88c5c0b0c6e3f0f50d99f35578d7cea,2 those who go 2 sleep l8 like 11 am and those dat wake up like @ 6 am u sux no 1 picks up dnt ask y i dnt call cuz wen its free ya dnt ans,,0
33442,73,f8249493f16a1370dd53a36a51ffe010,can't believe that darling DAFFY DUCKY is on MSN at the same time as her so she's making the most of the time. MISS YOU DUCK!,,0
33442,76,f8249493f16a1370dd53a36a51ffe010,"I love you, thesaurus. Without you, life has no big words. Without you, english would be piled with crap. Without you, I wouldn't understand shit. Marry me?",,0
33442,77,f8249493f16a1370dd53a36a51ffe010,"Holy shit if you're just going to keep deactivating and reactivating your account, just freaking deactivate it already coz it's mother-effing annoying!",,0
33442,79,f8249493f16a1370dd53a36a51ffe010,"is desperate for answers to question three in the science assignment. You know, that one on how speed measuring devices have impacted on science?",,0
33442,84,f8249493f16a1370dd53a36a51ffe010,had a great time at the city for the Red Cross Blood Drive with Marilee Du Plessis & A HAPPY HAPPY HAPPY BIRTHDAY TO Lauren Hampson!!!,,0
33442,86,f8249493f16a1370dd53a36a51ffe010,"Step two to getting rid of your annoying little brother: When he keeps playing the same irritating riff over and over by your ear with his guitar, you sing along (as horribly as possible) with made-up, or offensive (to him) lyrics that challenge his sexuality.",,0
33442,87,f8249493f16a1370dd53a36a51ffe010,"Answering everyone's extension questions make me feel like I've done so much work and that I am so prepared. Truth is guys, I haven't started. :D",,0
33442,88,f8249493f16a1370dd53a36a51ffe010,"is getting paper balls chucked at her face. Thank you my silly brother. And in other news, Amanda Lu is back! :D",,0
